BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422700,317059,93,Stock , 0.00125000 ,14/08/2025,14/08/2025,Test
422700,154461,94,Stock , 0.00020000 ,14/08/2025,14/08/2025,Test
422702,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422702,291545,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,201236,4,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422702,193331,5,Stock , 0.12500000 ,14/08/2025,14/08/2025,Test
422702,211443,6,Stock , 0.00600000 ,14/08/2025,14/08/2025,Test
422702,211439,7,Stock , 0.00600000 ,14/08/2025,14/08/2025,Test
422702,116737,8,Stock , 0.00240000 ,14/08/2025,14/08/2025,Test
422702,116738,9,Stock , 0.00102154 ,14/08/2025,14/08/2025,Test
422702,116739,10,Stock , 0.01000000 ,14/08/2025,14/08/2025,Test
422702,211489,11,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422702,291546,12,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,201236,13,Stock , 0.06428571 ,14/08/2025,14/08/2025,Test
422702,193332,14,Stock , 0.14285714 ,14/08/2025,14/08/2025,Test
422702,211443,15,Stock , 0.01285714 ,14/08/2025,14/08/2025,Test
422702,211627,16,Stock , 0.01285714 ,14/08/2025,14/08/2025,Test
422702,116737,17,Stock , 0.00257143 ,14/08/2025,14/08/2025,Test
422702,116738,18,Stock , 0.00109451 ,14/08/2025,14/08/2025,Test
422702,116739,19,Stock , 0.01071429 ,14/08/2025,14/08/2025,Test
422702,211489,20,Stock , 0.00321429 ,14/08/2025,14/08/2025,Test
422702,291547,21,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,201236,22,Stock , 0.00500000 ,14/08/2025,,Test
422702,116737,23,Stock , 0.00020000 ,14/08/2025,,Test
422702,116738,24,Stock , 0.00008513 ,14/08/2025,,Test
422702,116739,25,Stock , 0.00083333 ,14/08/2025,,Test
422702,211489,26,Stock , 0.00025000 ,14/08/2025,,Test
422702,291547,27,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,211443,28,Stock , 1.80000000 ,14/08/2025,14/08/2025,Test
422702,211439,29,Stock , 1.80000000 ,14/08/2025,14/08/2025,Test
422702,291545,30,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422702,200898,31,Stock , 0.01500000 ,14/08/2025,14/08/2025,Test
422702,193333,32,Stock , 0.12500000 ,14/08/2025,14/08/2025,Test
422702,211443,33,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422702,211439,34,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422702,116737,35,Stock , 0.00060000 ,14/08/2025,14/08/2025,Test
422702,116738,36,Stock , 0.00025538 ,14/08/2025,14/08/2025,Test
422702,116739,37,Stock , 0.00250000 ,14/08/2025,14/08/2025,Test
422702,211489,38,Stock , 0.00075000 ,14/08/2025,14/08/2025,Test
422702,291546,39,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
